,Datetime,Building_ID,Category,Weekday_Weekend,Consumption_kW
0,2024-08-01 00:00:00,Building_01,commercial,Weekday,8.91
1,2024-08-01 00:00:00,Building_02,industrial,Weekday,59.58
2,2024-08-01 00:00:00,Building_03,commercial,Weekday,10.29
3,2024-08-01 00:00:00,Building_04,industrial,Weekday,56.98
4,2024-08-01 00:00:00,Building_05,commercial,Weekday,8.36
5,2024-08-01 00:00:00,Building_06,residential,Weekday,1.7
6,2024-08-01 00:00:00,Building_07,industrial,Weekday,54.98
7,2024-08-01 00:00:00,Building_08,industrial,Weekday,50.42
8,2024-08-01 00:00:00,Building_09,residential,Weekday,1.91
9,2024-08-01 00:00:00,Building_10,residential,Weekday,1.86
10,2024-08-01 00:00:00,Building_11,industrial,Weekday,40.4
11,2024-08-01 00:00:00,Building_12,industrial,Weekday,52.53
12,2024-08-01 00:00:00,Building_13,residential,Weekday,2.36
13,2024-08-01 00:00:00,Building_14,residential,Weekday,1.96
14,2024-08-01 00:00:00,Building_15,commercial,Weekday,10.95
15,2024-08-01 00:00:00,Building_16,industrial,Weekday,57.86
16,2024-08-01 00:00:00,Building_17,commercial,Weekday,11.8
17,2024-08-01 00:00:00,Building_18,industrial,Weekday,52.69
18,2024-08-01 00:00:00,Building_19,commercial,Weekday,11.83
19,2024-08-01 00:00:00,Building_20,residential,Weekday,1.84
20,2024-08-01 00:00:00,Building_21,industrial,Weekday,47.8
21,2024-08-01 00:00:00,Building_22,commercial,Weekday,10.45
22,2024-08-01 00:00:00,Building_23,industrial,Weekday,50.44
23,2024-08-01 00:00:00,Building_24,commercial,Weekday,10.94
24,2024-08-01 00:00:00,Building_25,residential,Weekday,1.96
25,2024-08-01 00:00:00,Building_26,residential,Weekday,1.97
26,2024-08-01 00:00:00,Building_27,commercial,Weekday,11.54
27,2024-08-01 00:00:00,Building_28,residential,Weekday,1.93
28,2024-08-01 00:00:00,Building_29,industrial,Weekday,42.82
29,2024-08-01 00:00:00,Building_30,residential,Weekday,1.67
30,2024-08-01 01:00:00,Building_01,commercial,Weekday,9.61
31,2024-08-01 01:00:00,Building_02,industrial,Weekday,42.31
32,2024-08-01 01:00:00,Building_03,commercial,Weekday,8.8
33,2024-08-01 01:00:00,Building_04,industrial,Weekday,43.0
34,2024-08-01 01:00:00,Building_05,commercial,Weekday,9.48
35,2024-08-01 01:00:00,Building_06,residential,Weekday,2.04
36,2024-08-01 01:00:00,Building_07,industrial,Weekday,44.32
37,2024-08-01 01:00:00,Building_08,industrial,Weekday,59.32
38,2024-08-01 01:00:00,Building_09,residential,Weekday,2.37
39,2024-08-01 01:00:00,Building_10,residential,Weekday,1.63
40,2024-08-01 01:00:00,Building_11,industrial,Weekday,54.62
41,2024-08-01 01:00:00,Building_12,industrial,Weekday,43.57
42,2024-08-01 01:00:00,Building_13,residential,Weekday,2.33
43,2024-08-01 01:00:00,Building_14,residential,Weekday,2.28
44,2024-08-01 01:00:00,Building_15,commercial,Weekday,8.55
45,2024-08-01 01:00:00,Building_16,industrial,Weekday,59.32
46,2024-08-01 01:00:00,Building_17,commercial,Weekday,8.27
47,2024-08-01 01:00:00,Building_18,industrial,Weekday,52.32
48,2024-08-01 01:00:00,Building_19,commercial,Weekday,8.2
49,2024-08-01 01:00:00,Building_20,residential,Weekday,2.38
50,2024-08-01 01:00:00,Building_21,industrial,Weekday,48.64
51,2024-08-01 01:00:00,Building_22,commercial,Weekday,9.91
52,2024-08-01 01:00:00,Building_23,industrial,Weekday,41.31
53,2024-08-01 01:00:00,Building_24,commercial,Weekday,8.43
54,2024-08-01 01:00:00,Building_25,residential,Weekday,1.71
55,2024-08-01 01:00:00,Building_26,residential,Weekday,2.15
56,2024-08-01 01:00:00,Building_27,commercial,Weekday,10.86
57,2024-08-01 01:00:00,Building_28,residential,Weekday,1.67
58,2024-08-01 01:00:00,Building_29,industrial,Weekday,47.12
59,2024-08-01 01:00:00,Building_30,residential,Weekday,1.7
60,2024-08-01 02:00:00,Building_01,commercial,Weekday,8.38
61,2024-08-01 02:00:00,Building_02,industrial,Weekday,44.5
62,2024-08-01 02:00:00,Building_03,commercial,Weekday,11.92
63,2024-08-01 02:00:00,Building_04,industrial,Weekday,51.16
64,2024-08-01 02:00:00,Building_05,commercial,Weekday,9.55
65,2024-08-01 02:00:00,Building_06,residential,Weekday,1.78
66,2024-08-01 02:00:00,Building_07,industrial,Weekday,50.47
67,2024-08-01 02:00:00,Building_08,industrial,Weekday,43.86
68,2024-08-01 02:00:00,Building_09,residential,Weekday,1.85
69,2024-08-01 02:00:00,Building_10,residential,Weekday,2.28
70,2024-08-01 02:00:00,Building_11,industrial,Weekday,56.91
71,2024-08-01 02:00:00,Building_12,industrial,Weekday,48.64
72,2024-08-01 02:00:00,Building_13,residential,Weekday,2.08
73,2024-08-01 02:00:00,Building_14,residential,Weekday,2.06
74,2024-08-01 02:00:00,Building_15,commercial,Weekday,9.32
75,2024-08-01 02:00:00,Building_16,industrial,Weekday,48.41
76,2024-08-01 02:00:00,Building_17,commercial,Weekday,10.66
77,2024-08-01 02:00:00,Building_18,industrial,Weekday,58.97
78,2024-08-01 02:00:00,Building_19,commercial,Weekday,8.0
79,2024-08-01 02:00:00,Building_20,residential,Weekday,2.4
80,2024-08-01 02:00:00,Building_21,industrial,Weekday,42.99
81,2024-08-01 02:00:00,Building_22,commercial,Weekday,8.51
82,2024-08-01 02:00:00,Building_23,industrial,Weekday,48.67
83,2024-08-01 02:00:00,Building_24,commercial,Weekday,11.52
84,2024-08-01 02:00:00,Building_25,residential,Weekday,1.87
85,2024-08-01 02:00:00,Building_26,residential,Weekday,2.06
86,2024-08-01 02:00:00,Building_27,commercial,Weekday,11.76
87,2024-08-01 02:00:00,Building_28,residential,Weekday,2.3
88,2024-08-01 02:00:00,Building_29,industrial,Weekday,49.18
89,2024-08-01 02:00:00,Building_30,residential,Weekday,1.96
90,2024-08-01 03:00:00,Building_01,commercial,Weekday,9.43
91,2024-08-01 03:00:00,Building_02,industrial,Weekday,56.19
92,2024-08-01 03:00:00,Building_03,commercial,Weekday,10.54
93,2024-08-01 03:00:00,Building_04,industrial,Weekday,59.18
94,2024-08-01 03:00:00,Building_05,commercial,Weekday,8.04
95,2024-08-01 03:00:00,Building_06,residential,Weekday,2.2
96,2024-08-01 03:00:00,Building_07,industrial,Weekday,52.61
97,2024-08-01 03:00:00,Building_08,industrial,Weekday,47.95
98,2024-08-01 03:00:00,Building_09,residential,Weekday,2.36
99,2024-08-01 03:00:00,Building_10,residential,Weekday,2.2
100,2024-08-01 03:00:00,Building_11,industrial,Weekday,46.93
101,2024-08-01 03:00:00,Building_12,industrial,Weekday,50.82
102,2024-08-01 03:00:00,Building_13,residential,Weekday,2.21
103,2024-08-01 03:00:00,Building_14,residential,Weekday,1.64
104,2024-08-01 03:00:00,Building_15,commercial,Weekday,10.96
105,2024-08-01 03:00:00,Building_16,industrial,Weekday,44.89
106,2024-08-01 03:00:00,Building_17,commercial,Weekday,8.14
107,2024-08-01 03:00:00,Building_18,industrial,Weekday,45.95
108,2024-08-01 03:00:00,Building_19,commercial,Weekday,8.02
109,2024-08-01 03:00:00,Building_20,residential,Weekday,1.8
110,2024-08-01 03:00:00,Building_21,industrial,Weekday,50.55
111,2024-08-01 03:00:00,Building_22,commercial,Weekday,8.61
112,2024-08-01 03:00:00,Building_23,industrial,Weekday,50.71
113,2024-08-01 03:00:00,Building_24,commercial,Weekday,11.59
114,2024-08-01 03:00:00,Building_25,residential,Weekday,1.63
115,2024-08-01 03:00:00,Building_26,residential,Weekday,2.26
116,2024-08-01 03:00:00,Building_27,commercial,Weekday,10.27
117,2024-08-01 03:00:00,Building_28,residential,Weekday,2.23
118,2024-08-01 03:00:00,Building_29,industrial,Weekday,50.0
119,2024-08-01 03:00:00,Building_30,residential,Weekday,1.97
120,2024-08-01 04:00:00,Building_01,commercial,Weekday,8.45
121,2024-08-01 04:00:00,Building_02,industrial,Weekday,56.47
122,2024-08-01 04:00:00,Building_03,commercial,Weekday,8.97
123,2024-08-01 04:00:00,Building_04,industrial,Weekday,41.07
124,2024-08-01 04:00:00,Building_05,commercial,Weekday,8.73
125,2024-08-01 04:00:00,Building_06,residential,Weekday,1.84
126,2024-08-01 04:00:00,Building_07,industrial,Weekday,55.29
127,2024-08-01 04:00:00,Building_08,industrial,Weekday,47.85
128,2024-08-01 04:00:00,Building_09,residential,Weekday,2.29
129,2024-08-01 04:00:00,Building_10,residential,Weekday,1.76
130,2024-08-01 04:00:00,Building_11,industrial,Weekday,49.52
131,2024-08-01 04:00:00,Building_12,industrial,Weekday,51.64
132,2024-08-01 04:00:00,Building_13,residential,Weekday,2.13
133,2024-08-01 04:00:00,Building_14,residential,Weekday,2.31
134,2024-08-01 04:00:00,Building_15,commercial,Weekday,10.68
135,2024-08-01 04:00:00,Building_16,industrial,Weekday,58.47
136,2024-08-01 04:00:00,Building_17,commercial,Weekday,11.64
137,2024-08-01 04:00:00,Building_18,industrial,Weekday,54.43
138,2024-08-01 04:00:00,Building_19,commercial,Weekday,9.86
139,2024-08-01 04:00:00,Building_20,residential,Weekday,1.97
140,2024-08-01 04:00:00,Building_21,industrial,Weekday,45.57
141,2024-08-01 04:00:00,Building_22,commercial,Weekday,11.7
142,2024-08-01 04:00:00,Building_23,industrial,Weekday,47.89
143,2024-08-01 04:00:00,Building_24,commercial,Weekday,11.94
144,2024-08-01 04:00:00,Building_25,residential,Weekday,2.15
145,2024-08-01 04:00:00,Building_26,residential,Weekday,1.77
146,2024-08-01 04:00:00,Building_27,commercial,Weekday,8.55
147,2024-08-01 04:00:00,Building_28,residential,Weekday,1.69
148,2024-08-01 04:00:00,Building_29,industrial,Weekday,53.92
149,2024-08-01 04:00:00,Building_30,residential,Weekday,2.38
150,2024-08-01 05:00:00,Building_01,commercial,Weekday,8.39
151,2024-08-01 05:00:00,Building_02,industrial,Weekday,54.17
152,2024-08-01 05:00:00,Building_03,commercial,Weekday,10.48
153,2024-08-01 05:00:00,Building_04,industrial,Weekday,54.43
154,2024-08-01 05:00:00,Building_05,commercial,Weekday,10.04
155,2024-08-01 05:00:00,Building_06,residential,Weekday,2.03
156,2024-08-01 05:00:00,Building_07,industrial,Weekday,49.93
157,2024-08-01 05:00:00,Building_08,industrial,Weekday,42.92
158,2024-08-01 05:00:00,Building_09,residential,Weekday,1.92
159,2024-08-01 05:00:00,Building_10,residential,Weekday,1.84
160,2024-08-01 05:00:00,Building_11,industrial,Weekday,59.86
161,2024-08-01 05:00:00,Building_12,industrial,Weekday,45.24
162,2024-08-01 05:00:00,Building_13,residential,Weekday,2.23
163,2024-08-01 05:00:00,Building_14,residential,Weekday,1.87
164,2024-08-01 05:00:00,Building_15,commercial,Weekday,11.62
165,2024-08-01 05:00:00,Building_16,industrial,Weekday,58.5
166,2024-08-01 05:00:00,Building_17,commercial,Weekday,11.57
167,2024-08-01 05:00:00,Building_18,industrial,Weekday,57.22
168,2024-08-01 05:00:00,Building_19,commercial,Weekday,8.17
169,2024-08-01 05:00:00,Building_20,residential,Weekday,2.01
170,2024-08-01 05:00:00,Building_21,industrial,Weekday,41.03
171,2024-08-01 05:00:00,Building_22,commercial,Weekday,10.47
172,2024-08-01 05:00:00,Building_23,industrial,Weekday,46.53
173,2024-08-01 05:00:00,Building_24,commercial,Weekday,9.05
174,2024-08-01 05:00:00,Building_25,residential,Weekday,2.37
175,2024-08-01 05:00:00,Building_26,residential,Weekday,2.35
176,2024-08-01 05:00:00,Building_27,commercial,Weekday,10.61
177,2024-08-01 05:00:00,Building_28,residential,Weekday,2.04
178,2024-08-01 05:00:00,Building_29,industrial,Weekday,49.52
179,2024-08-01 05:00:00,Building_30,residential,Weekday,2.3
180,2024-08-01 06:00:00,Building_01,commercial,Weekday,10.41
181,2024-08-01 06:00:00,Building_02,industrial,Weekday,56.56
182,2024-08-01 06:00:00,Building_03,commercial,Weekday,10.52
183,2024-08-01 06:00:00,Building_04,industrial,Weekday,59.09
184,2024-08-01 06:00:00,Building_05,commercial,Weekday,8.19
185,2024-08-01 06:00:00,Building_06,residential,Weekday,1.93
186,2024-08-01 06:00:00,Building_07,industrial,Weekday,59.06
187,2024-08-01 06:00:00,Building_08,industrial,Weekday,58.8
188,2024-08-01 06:00:00,Building_09,residential,Weekday,1.6
189,2024-08-01 06:00:00,Building_10,residential,Weekday,1.89
190,2024-08-01 06:00:00,Building_11,industrial,Weekday,55.57
191,2024-08-01 06:00:00,Building_12,industrial,Weekday,58.97
192,2024-08-01 06:00:00,Building_13,residential,Weekday,1.86
193,2024-08-01 06:00:00,Building_14,residential,Weekday,1.71
194,2024-08-01 06:00:00,Building_15,commercial,Weekday,9.35
195,2024-08-01 06:00:00,Building_16,industrial,Weekday,52.13
196,2024-08-01 06:00:00,Building_17,commercial,Weekday,11.55
197,2024-08-01 06:00:00,Building_18,industrial,Weekday,48.85
198,2024-08-01 06:00:00,Building_19,commercial,Weekday,11.67
199,2024-08-01 06:00:00,Building_20,residential,Weekday,2.38
200,2024-08-01 06:00:00,Building_21,industrial,Weekday,58.83
201,2024-08-01 06:00:00,Building_22,commercial,Weekday,8.01
202,2024-08-01 06:00:00,Building_23,industrial,Weekday,44.31
203,2024-08-01 06:00:00,Building_24,commercial,Weekday,9.12
204,2024-08-01 06:00:00,Building_25,residential,Weekday,1.84
205,2024-08-01 06:00:00,Building_26,residential,Weekday,1.7
206,2024-08-01 06:00:00,Building_27,commercial,Weekday,10.81
207,2024-08-01 06:00:00,Building_28,residential,Weekday,1.69
208,2024-08-01 06:00:00,Building_29,industrial,Weekday,54.87
209,2024-08-01 06:00:00,Building_30,residential,Weekday,2.08
210,2024-08-01 07:00:00,Building_01,commercial,Weekday,8.63
211,2024-08-01 07:00:00,Building_02,industrial,Weekday,54.83
212,2024-08-01 07:00:00,Building_03,commercial,Weekday,9.25
213,2024-08-01 07:00:00,Building_04,industrial,Weekday,59.84
214,2024-08-01 07:00:00,Building_05,commercial,Weekday,11.79
215,2024-08-01 07:00:00,Building_06,residential,Weekday,1.95
216,2024-08-01 07:00:00,Building_07,industrial,Weekday,44.28
217,2024-08-01 07:00:00,Building_08,industrial,Weekday,51.3
218,2024-08-01 07:00:00,Building_09,residential,Weekday,2.29
219,2024-08-01 07:00:00,Building_10,residential,Weekday,1.74
220,2024-08-01 07:00:00,Building_11,industrial,Weekday,57.75
221,2024-08-01 07:00:00,Building_12,industrial,Weekday,49.76
222,2024-08-01 07:00:00,Building_13,residential,Weekday,2.33
223,2024-08-01 07:00:00,Building_14,residential,Weekday,2.12
224,2024-08-01 07:00:00,Building_15,commercial,Weekday,10.66
225,2024-08-01 07:00:00,Building_16,industrial,Weekday,55.42
226,2024-08-01 07:00:00,Building_17,commercial,Weekday,9.25
227,2024-08-01 07:00:00,Building_18,industrial,Weekday,45.44
228,2024-08-01 07:00:00,Building_19,commercial,Weekday,10.05
229,2024-08-01 07:00:00,Building_20,residential,Weekday,1.79
230,2024-08-01 07:00:00,Building_21,industrial,Weekday,41.2
231,2024-08-01 07:00:00,Building_22,commercial,Weekday,9.5
232,2024-08-01 07:00:00,Building_23,industrial,Weekday,59.67
233,2024-08-01 07:00:00,Building_24,commercial,Weekday,9.77
234,2024-08-01 07:00:00,Building_25,residential,Weekday,2.31
235,2024-08-01 07:00:00,Building_26,residential,Weekday,2.03
236,2024-08-01 07:00:00,Building_27,commercial,Weekday,10.64
237,2024-08-01 07:00:00,Building_28,residential,Weekday,2.05
238,2024-08-01 07:00:00,Building_29,industrial,Weekday,41.59
239,2024-08-01 07:00:00,Building_30,residential,Weekday,2.35
240,2024-08-01 08:00:00,Building_01,commercial,Weekday,8.93
241,2024-08-01 08:00:00,Building_02,industrial,Weekday,43.02
242,2024-08-01 08:00:00,Building_03,commercial,Weekday,9.03
243,2024-08-01 08:00:00,Building_04,industrial,Weekday,50.3
244,2024-08-01 08:00:00,Building_05,commercial,Weekday,11.04
245,2024-08-01 08:00:00,Building_06,residential,Weekday,2.23
246,2024-08-01 08:00:00,Building_07,industrial,Weekday,46.34
247,2024-08-01 08:00:00,Building_08,industrial,Weekday,58.29
248,2024-08-01 08:00:00,Building_09,residential,Weekday,1.77
249,2024-08-01 08:00:00,Building_10,residential,Weekday,1.93
250,2024-08-01 08:00:00,Building_11,industrial,Weekday,45.04
