Latitude,Longitude,Building_ID,Datetime,Category,Weekday_Weekend,Consumption_kW
25.158234,121.502811,Building_10,2024-08-01 00:00:00,residential,Weekday,1.86
25.158234,121.502811,Building_10,2024-08-01 01:00:00,residential,Weekday,1.63
25.158234,121.502811,Building_10,2024-08-01 02:00:00,residential,Weekday,2.28
25.158234,121.502811,Building_10,2024-08-01 03:00:00,residential,Weekday,2.2
25.158234,121.502811,Building_10,2024-08-01 04:00:00,residential,Weekday,1.76
25.158234,121.502811,Building_10,2024-08-01 05:00:00,residential,Weekday,1.84
25.158234,121.502811,Building_10,2024-08-01 06:00:00,residential,Weekday,1.89
25.158234,121.502811,Building_10,2024-08-01 07:00:00,residential,Weekday,1.74
25.158234,121.502811,Building_10,2024-08-01 08:00:00,residential,Weekday,1.93
25.158234,121.502811,Building_10,2024-08-01 09:00:00,residential,Weekday,2.08
25.158234,121.502811,Building_10,2024-08-01 10:00:00,residential,Weekday,1.91
25.158234,121.502811,Building_10,2024-08-01 11:00:00,residential,Weekday,2.26
25.158234,121.502811,Building_10,2024-08-01 12:00:00,residential,Weekday,2.4
25.158234,121.502811,Building_10,2024-08-01 13:00:00,residential,Weekday,1.81
25.158234,121.502811,Building_10,2024-08-01 14:00:00,residential,Weekday,1.66
25.158234,121.502811,Building_10,2024-08-01 15:00:00,residential,Weekday,2.17
25.158234,121.502811,Building_10,2024-08-01 16:00:00,residential,Weekday,1.74
25.158234,121.502811,Building_10,2024-08-01 17:00:00,residential,Weekday,2.3
25.158234,121.502811,Building_10,2024-08-01 18:00:00,residential,Weekday,5.06
25.158234,121.502811,Building_10,2024-08-01 19:00:00,residential,Weekday,6.98
25.158234,121.502811,Building_10,2024-08-01 20:00:00,residential,Weekday,6.54
25.158234,121.502811,Building_10,2024-08-01 21:00:00,residential,Weekday,1.81
25.158234,121.502811,Building_10,2024-08-01 22:00:00,residential,Weekday,1.71
25.158234,121.502811,Building_10,2024-08-01 23:00:00,residential,Weekday,2.0
25.158234,121.502811,Building_10,2024-08-02 00:00:00,residential,Weekday,2.31
25.158234,121.502811,Building_10,2024-08-02 01:00:00,residential,Weekday,1.62
25.158234,121.502811,Building_10,2024-08-02 02:00:00,residential,Weekday,1.87
25.158234,121.502811,Building_10,2024-08-02 03:00:00,residential,Weekday,2.23
25.158234,121.502811,Building_10,2024-08-02 04:00:00,residential,Weekday,2.32
25.158234,121.502811,Building_10,2024-08-02 05:00:00,residential,Weekday,2.39
25.158234,121.502811,Building_10,2024-08-02 06:00:00,residential,Weekday,1.76
25.158234,121.502811,Building_10,2024-08-02 07:00:00,residential,Weekday,1.89
25.158234,121.502811,Building_10,2024-08-02 08:00:00,residential,Weekday,1.83
